"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.719190233E1,7.110176235E-2,-2.560776472E-2,-9.543323517E-2,1.217321675E-1
3.720982182E1,3.323592991E-2,2.728700638E-4,-1.067953110E-1,1.118478428E-1
3.722773991E1,2.897190452E-1,-1.107866764E-1,-2.586650848E-1,4.038792380E-1
3.724565923E1,-7.919901609E-2,-8.701956272E-2,-3.650274277E-1,3.835230259E-1
3.726357768E1,-1.246350408E-1,1.016372442E-2,-2.489814758E-1,2.786197588E-1
3.728149663E1,-7.139474899E-2,-6.451308727E-2,-6.511211395E-2,1.161840608E-1
3.729941466E1,4.957048967E-2,-1.166417599E-1,1.191463470E-1,1.739493766E-1
3.731732280E1,5.566676334E-2,-1.828032136E-1,1.559915543E-1,2.466762422E-1
3.733525322E1,5.194698274E-2,-1.948262453E-1,9.837341309E-2,2.243503583E-1
3.735317192E1,2.429181710E-3,-1.364921331E-1,-5.864048004E-2,1.485756011E-1
3.737108940E1,-5.954830721E-2,-7.514750957E-2,-2.293024063E-1,2.485412292E-1
3.738900999E1,-1.343673468E-1,-3.162246943E-2,-3.238439560E-1,3.520361804E-1
3.740692772E1,-1.793908030E-1,4.240155220E-3,-2.574262619E-1,3.137950277E-1
3.742484703E1,-1.255516857E-1,3.307002783E-2,-1.719665527E-1,2.154747033E-1
3.744276536E1,-1.486685127E-2,2.869045734E-2,-1.206560135E-1,1.249081230E-1
3.746068449E1,8.281309158E-3,2.415728569E-2,-3.998279572E-2,4.744237016E-2
3.747860332E1,1.934723184E-2,2.075672150E-2,1.700782776E-2,3.308206572E-2
3.749652251E1,-2.564959228E-2,-9.373128414E-3,4.074287415E-2,4.904833243E-2
3.751444066E1,-3.279056400E-2,-6.812810898E-5,5.003738403E-2,5.982445595E-2
3.753235991E1,-4.577074945E-2,2.653664351E-2,1.603698730E-2,5.528417419E-2
3.755027849E1,-8.271211386E-2,-1.767545938E-2,2.973079681E-2,8.965286344E-2
3.756819810E1,-1.449993253E-2,-3.541582823E-2,7.171154022E-2,8.128390944E-2
3.758611363E1,3.872873634E-2,-2.230888605E-2,-1.467895508E-2,4.704331130E-2
3.760403722E1,3.307916969E-2,-1.792877913E-2,-1.393823624E-1,1.443714498E-1
3.762195170E1,3.704917058E-2,-2.193850279E-2,-1.397523880E-1,1.462349784E-1
3.763987498E1,1.562745124E-2,-4.504865408E-2,-1.108121872E-1,1.206355640E-1
3.765779149E1,-3.217379749E-2,-4.908925295E-2,-1.110982895E-1,1.256492655E-1
3.767571001E1,-9.177465737E-2,-5.907547474E-2,-5.872535706E-2,1.239401751E-1
3.769362895E1,-6.954531372E-2,-4.810816050E-2,-1.308364868E-1,1.557855322E-1
3.771154802E1,-6.821714342E-2,-1.353527904E-1,-8.893966675E-2,1.757390703E-1
3.772946666E1,-6.304593384E-2,-1.006869078E-1,-1.281166077E-2,1.194854879E-1
3.774738518E1,-2.876605093E-2,-7.720774412E-2,-4.655647278E-2,9.463628583E-2
3.776530449E1,-2.770243585E-2,-7.061308622E-2,-6.095600128E-2,9.731015872E-2
3.778321141E1,-2.815945446E-2,-1.027234793E-1,-1.231327057E-1,1.628088796E-1
3.780113872E1,-3.518386185E-2,-7.872760296E-2,-9.850025177E-2,1.309130979E-1
3.781906377E1,-9.086364508E-2,-4.470396042E-2,-9.364604950E-2,1.379283461E-1
3.783697948E1,-5.003738403E-2,-6.044548750E-2,-1.608219147E-1,1.789443629E-1
3.785488640E1,1.107540727E-2,-3.561186790E-2,-1.091756821E-1,1.153698372E-1
3.787281718E1,3.045802563E-2,-5.383032560E-2,-6.716346741E-2,9.130348643E-2
